Draw,Date,Pick3,Pick4,Date_Time,Date_Str,Date_Delta,Pick3str,Pick4str,P3B1,P3B2,P3B3,P4B1,P4B2,P4B3,P4B4
0,2013-12-13,312,2307,2013-12-13,20131213,712.0,312,2307,3,1,2,2,3,0,7
0,2013-12-14,394,539,2013-12-14,20131214,713.0,394,0539,3,9,4,0,5,3,9
1,2013-12-14,143,2687,2013-12-14,20131214,713.0,143,2687,1,4,3,2,6,8,7
0,2013-12-15,573,2691,2013-12-15,20131215,714.0,573,2691,5,7,3,2,6,9,1
1,2013-12-15,188,515,2013-12-15,20131215,714.0,188,0515,1,8,8,0,5,1,5
0,2013-12-16,616,4513,2013-12-16,20131216,715.0,616,4513,6,1,6,4,5,1,3
1,2013-12-16,632,7767,2013-12-16,20131216,715.0,632,7767,6,3,2,7,7,6,7
0,2013-12-17,551,5065,2013-12-17,20131217,716.0,551,5065,5,5,1,5,0,6,5
1,2013-12-17,679,2358,2013-12-17,20131217,716.0,679,2358,6,7,9,2,3,5,8
1,2013-12-18,388,3970,2013-12-18,20131218,717.0,388,3970,3,8,8,3,9,7,0
0,2013-12-18,281,1481,2013-12-18,20131218,717.0,281,1481,2,8,1,1,4,8,1
0,2013-12-19,819,9732,2013-12-19,20131219,718.0,819,9732,8,1,9,9,7,3,2
1,2013-12-19,393,345,2013-12-19,20131219,718.0,393,0345,3,9,3,0,3,4,5
0,2013-12-20,789,1910,2013-12-20,20131220,719.0,789,1910,7,8,9,1,9,1,0
1,2013-12-20,52,3550,2013-12-20,20131220,719.0,052,3550,0,5,2,3,5,5,0
0,2013-12-21,593,8651,2013-12-21,20131221,720.0,593,8651,5,9,3,8,6,5,1
1,2013-12-21,105,5598,2013-12-21,20131221,720.0,105,5598,1,0,5,5,5,9,8
0,2013-12-22,175,49,2013-12-22,20131222,721.0,175,0049,1,7,5,0,0,4,9
1,2013-12-22,803,2568,2013-12-22,20131222,721.0,803,2568,8,0,3,2,5,6,8
1,2013-12-23,931,7649,2013-12-23,20131223,722.0,931,7649,9,3,1,7,6,4,9
0,2013-12-23,74,2935,2013-12-23,20131223,722.0,074,2935,0,7,4,2,9,3,5
0,2013-12-24,863,6484,2013-12-24,20131224,723.0,863,6484,8,6,3,6,4,8,4
1,2013-12-24,423,5967,2013-12-24,20131224,723.0,423,5967,4,2,3,5,9,6,7
0,2013-12-25,124,5130,2013-12-25,20131225,724.0,124,5130,1,2,4,5,1,3,0
1,2013-12-25,22,9583,2013-12-25,20131225,724.0,022,9583,0,2,2,9,5,8,3
0,2013-12-26,804,2395,2013-12-26,20131226,725.0,804,2395,8,0,4,2,3,9,5
1,2013-12-26,29,5723,2013-12-26,20131226,725.0,029,5723,0,2,9,5,7,2,3
0,2013-12-27,30,7080,2013-12-27,20131227,726.0,030,7080,0,3,0,7,0,8,0
1,2013-12-27,996,7374,2013-12-27,20131227,726.0,996,7374,9,9,6,7,3,7,4
0,2013-12-28,958,98,2013-12-28,20131228,727.0,958,0098,9,5,8,0,0,9,8
1,2013-12-28,952,4119,2013-12-28,20131228,727.0,952,4119,9,5,2,4,1,1,9
0,2013-12-29,507,5197,2013-12-29,20131229,728.0,507,5197,5,0,7,5,1,9,7
1,2013-12-29,232,5843,2013-12-29,20131229,728.0,232,5843,2,3,2,5,8,4,3
0,2013-12-30,483,6504,2013-12-30,20131230,729.0,483,6504,4,8,3,6,5,0,4
1,2013-12-30,154,7635,2013-12-30,20131230,729.0,154,7635,1,5,4,7,6,3,5
1,2013-12-31,537,9455,2013-12-31,20131231,730.0,537,9455,5,3,7,9,4,5,5
0,2013-12-31,567,9045,2013-12-31,20131231,730.0,567,9045,5,6,7,9,0,4,5
0,2014-01-01,980,2084,2014-01-01,20140101,731.0,980,2084,9,8,0,2,0,8,4
1,2014-01-01,468,1138,2014-01-01,20140101,731.0,468,1138,4,6,8,1,1,3,8
0,2014-01-02,355,3713,2014-01-02,20140102,732.0,355,3713,3,5,5,3,7,1,3
1,2014-01-02,834,9221,2014-01-02,20140102,732.0,834,9221,8,3,4,9,2,2,1
0,2014-01-03,429,2993,2014-01-03,20140103,733.0,429,2993,4,2,9,2,9,9,3
1,2014-01-03,272,2208,2014-01-03,20140103,733.0,272,2208,2,7,2,2,2,0,8
0,2014-01-04,112,5,2014-01-04,20140104,734.0,112,0005,1,1,2,0,0,0,5
1,2014-01-04,745,526,2014-01-04,20140104,734.0,745,0526,7,4,5,0,5,2,6
1,2014-01-05,373,2175,2014-01-05,20140105,735.0,373,2175,3,7,3,2,1,7,5
0,2014-01-05,244,6553,2014-01-05,20140105,735.0,244,6553,2,4,4,6,5,5,3
0,2014-01-06,720,5094,2014-01-06,20140106,736.0,720,5094,7,2,0,5,0,9,4
1,2014-01-06,590,8890,2014-01-06,20140106,736.0,590,8890,5,9,0,8,8,9,0
0,2014-01-07,92,3909,2014-01-07,20140107,737.0,092,3909,0,9,2,3,9,0,9
1,2014-01-07,973,1634,2014-01-07,20140107,737.0,973,1634,9,7,3,1,6,3,4
0,2014-01-08,977,7779,2014-01-08,20140108,738.0,977,7779,9,7,7,7,7,7,9
1,2014-01-08,186,7285,2014-01-08,20140108,738.0,186,7285,1,8,6,7,2,8,5
0,2014-01-09,198,2497,2014-01-09,20140109,739.0,198,2497,1,9,8,2,4,9,7
1,2014-01-09,258,8849,2014-01-09,20140109,739.0,258,8849,2,5,8,8,8,4,9
1,2014-01-10,61,3477,2014-01-10,20140110,740.0,061,3477,0,6,1,3,4,7,7
0,2014-01-10,122,3000,2014-01-10,20140110,740.0,122,3000,1,2,2,3,0,0,0
0,2014-01-11,19,3138,2014-01-11,20140111,741.0,019,3138,0,1,9,3,1,3,8
1,2014-01-11,872,8337,2014-01-11,20140111,741.0,872,8337,8,7,2,8,3,3,7
0,2014-01-12,430,9494,2014-01-12,20140112,742.0,430,9494,4,3,0,9,4,9,4
1,2014-01-12,301,7886,2014-01-12,20140112,742.0,301,7886,3,0,1,7,8,8,6
0,2014-01-13,568,1773,2014-01-13,20140113,743.0,568,1773,5,6,8,1,7,7,3
1,2014-01-13,853,4371,2014-01-13,20140113,743.0,853,4371,8,5,3,4,3,7,1
0,2014-01-14,541,4648,2014-01-14,20140114,744.0,541,4648,5,4,1,4,6,4,8
1,2014-01-14,604,8448,2014-01-14,20140114,744.0,604,8448,6,0,4,8,4,4,8
1,2014-01-15,464,1951,2014-01-15,20140115,745.0,464,1951,4,6,4,1,9,5,1
0,2014-01-15,722,9454,2014-01-15,20140115,745.0,722,9454,7,2,2,9,4,5,4
0,2014-01-16,202,5825,2014-01-16,20140116,746.0,202,5825,2,0,2,5,8,2,5
1,2014-01-16,421,6145,2014-01-16,20140116,746.0,421,6145,4,2,1,6,1,4,5
0,2014-01-17,714,9323,2014-01-17,20140117,747.0,714,9323,7,1,4,9,3,2,3
1,2014-01-17,503,7822,2014-01-17,20140117,747.0,503,7822,5,0,3,7,8,2,2
0,2014-01-18,232,5389,2014-01-18,20140118,748.0,232,5389,2,3,2,5,3,8,9
1,2014-01-18,878,5995,2014-01-18,20140118,748.0,878,5995,8,7,8,5,9,9,5
0,2014-01-19,965,650,2014-01-19,20140119,749.0,965,0650,9,6,5,0,6,5,0
1,2014-01-19,366,6224,2014-01-19,20140119,749.0,366,6224,3,6,6,6,2,2,4
0,2014-01-20,904,8724,2014-01-20,20140120,750.0,904,8724,9,0,4,8,7,2,4
0,2014-01-21,215,2826,2014-01-21,20140121,751.0,215,2826,2,1,5,2,8,2,6
1,2014-01-21,253,3087,2014-01-21,20140121,751.0,253,3087,2,5,3,3,0,8,7
1,2014-01-22,390,4699,2014-01-22,20140122,752.0,390,4699,3,9,0,4,6,9,9
0,2014-01-22,331,6677,2014-01-22,20140122,752.0,331,6677,3,3,1,6,6,7,7
0,2014-01-23,670,8519,2014-01-23,20140123,753.0,670,8519,6,7,0,8,5,1,9
1,2014-01-23,925,2747,2014-01-23,20140123,753.0,925,2747,9,2,5,2,7,4,7
0,2014-01-24,846,8533,2014-01-24,20140124,754.0,846,8533,8,4,6,8,5,3,3
1,2014-01-24,359,5736,2014-01-24,20140124,754.0,359,5736,3,5,9,5,7,3,6
0,2014-01-25,889,1470,2014-01-25,20140125,755.0,889,1470,8,8,9,1,4,7,0
1,2014-01-25,326,2658,2014-01-25,20140125,755.0,326,2658,3,2,6,2,6,5,8
0,2014-01-26,918,2057,2014-01-26,20140126,756.0,918,2057,9,1,8,2,0,5,7
1,2014-01-26,431,3224,2014-01-26,20140126,756.0,431,3224,4,3,1,3,2,2,4
1,2014-01-27,714,6247,2014-01-27,20140127,757.0,714,6247,7,1,4,6,2,4,7
0,2014-01-27,464,8840,2014-01-27,20140127,757.0,464,8840,4,6,4,8,8,4,0
0,2014-01-28,521,4228,2014-01-28,20140128,758.0,521,4228,5,2,1,4,2,2,8
1,2014-01-28,247,9436,2014-01-28,20140128,758.0,247,9436,2,4,7,9,4,3,6
0,2014-01-29,165,88,2014-01-29,20140129,759.0,165,0088,1,6,5,0,0,8,8
1,2014-01-29,154,5736,2014-01-29,20140129,759.0,154,5736,1,5,4,5,7,3,6
0,2014-01-30,525,2288,2014-01-30,20140130,760.0,525,2288,5,2,5,2,2,8,8
1,2014-01-30,342,78,2014-01-30,20140130,760.0,342,0078,3,4,2,0,0,7,8
0,2014-01-31,468,1604,2014-01-31,20140131,761.0,468,1604,4,6,8,1,6,0,4
1,2014-01-31,304,2239,2014-01-31,20140131,761.0,304,2239,3,0,4,2,2,3,9
1,2014-02-01,372,8421,2014-02-01,20140201,762.0,372,8421,3,7,2,8,4,2,1
0,2014-02-01,703,6097,2014-02-01,20140201,762.0,703,6097,7,0,3,6,0,9,7
1,2014-02-02,142,8982,2014-02-02,20140202,763.0,142,8982,1,4,2,8,9,8,2
0,2014-02-02,564,8512,2014-02-02,20140202,763.0,564,8512,5,6,4,8,5,1,2
0,2014-02-03,862,9810,2014-02-03,20140203,764.0,862,9810,8,6,2,9,8,1,0
1,2014-02-03,225,5731,2014-02-03,20140203,764.0,225,5731,2,2,5,5,7,3,1
1,2014-02-04,599,70,2014-02-04,20140204,765.0,599,0070,5,9,9,0,0,7,0
0,2014-02-04,704,6020,2014-02-04,20140204,765.0,704,6020,7,0,4,6,0,2,0
0,2014-02-05,124,129,2014-02-05,20140205,766.0,124,0129,1,2,4,0,1,2,9
1,2014-02-05,641,7726,2014-02-05,20140205,766.0,641,7726,6,4,1,7,7,2,6
0,2014-02-06,521,2131,2014-02-06,20140206,767.0,521,2131,5,2,1,2,1,3,1
1,2014-02-06,840,8973,2014-02-06,20140206,767.0,840,8973,8,4,0,8,9,7,3
0,2014-02-07,432,1681,2014-02-07,20140207,768.0,432,1681,4,3,2,1,6,8,1
1,2014-02-07,958,3856,2014-02-07,20140207,768.0,958,3856,9,5,8,3,8,5,6
0,2014-02-08,344,5929,2014-02-08,20140208,769.0,344,5929,3,4,4,5,9,2,9
1,2014-02-08,323,5595,2014-02-08,20140208,769.0,323,5595,3,2,3,5,5,9,5
0,2014-02-09,767,1952,2014-02-09,20140209,770.0,767,1952,7,6,7,1,9,5,2
1,2014-02-09,223,6083,2014-02-09,20140209,770.0,223,6083,2,2,3,6,0,8,3
1,2014-02-10,654,7370,2014-02-10,20140210,771.0,654,7370,6,5,4,7,3,7,0
0,2014-02-10,744,902,2014-02-10,20140210,771.0,744,0902,7,4,4,0,9,0,2
0,2014-02-11,396,5741,2014-02-11,20140211,772.0,396,5741,3,9,6,5,7,4,1
1,2014-02-11,656,827,2014-02-11,20140211,772.0,656,0827,6,5,6,0,8,2,7
0,2014-02-12,568,9626,2014-02-12,20140212,773.0,568,9626,5,6,8,9,6,2,6
1,2014-02-12,159,4139,2014-02-12,20140212,773.0,159,4139,1,5,9,4,1,3,9
0,2014-02-13,626,8670,2014-02-13,20140213,774.0,626,8670,6,2,6,8,6,7,0
1,2014-02-13,101,5869,2014-02-13,20140213,774.0,101,5869,1,0,1,5,8,6,9
0,2014-02-14,708,8897,2014-02-14,20140214,775.0,708,8897,7,0,8,8,8,9,7
1,2014-02-14,583,4994,2014-02-14,20140214,775.0,583,4994,5,8,3,4,9,9,4
0,2014-02-15,343,1006,2014-02-15,20140215,776.0,343,1006,3,4,3,1,0,0,6
1,2014-02-15,585,4926,2014-02-15,20140215,776.0,585,4926,5,8,5,4,9,2,6
0,2014-02-16,20,457,2014-02-16,20140216,777.0,020,0457,0,2,0,0,4,5,7
1,2014-02-16,124,5947,2014-02-16,20140216,777.0,124,5947,1,2,4,5,9,4,7
1,2014-02-17,344,7984,2014-02-17,20140217,778.0,344,7984,3,4,4,7,9,8,4
0,2014-02-17,72,1447,2014-02-17,20140217,778.0,072,1447,0,7,2,1,4,4,7
0,2014-02-18,849,9075,2014-02-18,20140218,779.0,849,9075,8,4,9,9,0,7,5
1,2014-02-18,496,1304,2014-02-18,20140218,779.0,496,1304,4,9,6,1,3,0,4
1,2014-02-19,828,2995,2014-02-19,20140219,780.0,828,2995,8,2,8,2,9,9,5
0,2014-02-19,170,7432,2014-02-19,20140219,780.0,170,7432,1,7,0,7,4,3,2
1,2014-02-20,315,248,2014-02-20,20140220,781.0,315,0248,3,1,5,0,2,4,8
0,2014-02-20,7,112,2014-02-20,20140220,781.0,007,0112,0,0,7,0,1,1,2
0,2014-02-21,917,9494,2014-02-21,20140221,782.0,917,9494,9,1,7,9,4,9,4
1,2014-02-21,809,5669,2014-02-21,20140221,782.0,809,5669,8,0,9,5,6,6,9
0,2014-02-22,975,8732,2014-02-22,20140222,783.0,975,8732,9,7,5,8,7,3,2
1,2014-02-22,714,6936,2014-02-22,20140222,783.0,714,6936,7,1,4,6,9,3,6
0,2014-02-23,545,919,2014-02-23,20140223,784.0,545,0919,5,4,5,0,9,1,9
1,2014-02-23,0,9206,2014-02-23,20140223,784.0,000,9206,0,0,0,9,2,0,6
1,2014-02-24,621,3102,2014-02-24,20140224,785.0,621,3102,6,2,1,3,1,0,2
0,2014-02-24,557,4995,2014-02-24,20140224,785.0,557,4995,5,5,7,4,9,9,5
1,2014-02-25,656,5305,2014-02-25,20140225,786.0,656,5305,6,5,6,5,3,0,5
0,2014-02-25,739,5914,2014-02-25,20140225,786.0,739,5914,7,3,9,5,9,1,4
0,2014-02-26,473,2890,2014-02-26,20140226,787.0,473,2890,4,7,3,2,8,9,0
1,2014-02-26,910,1422,2014-02-26,20140226,787.0,910,1422,9,1,0,1,4,2,2
1,2014-02-27,86,7907,2014-02-27,20140227,788.0,086,7907,0,8,6,7,9,0,7
0,2014-02-27,425,8195,2014-02-27,20140227,788.0,425,8195,4,2,5,8,1,9,5
0,2014-02-28,653,6994,2014-02-28,20140228,789.0,653,6994,6,5,3,6,9,9,4
1,2014-02-28,337,4539,2014-02-28,20140228,789.0,337,4539,3,3,7,4,5,3,9
0,2014-03-01,309,5632,2014-03-01,20140301,790.0,309,5632,3,0,9,5,6,3,2
1,2014-03-01,787,7707,2014-03-01,20140301,790.0,787,7707,7,8,7,7,7,0,7
0,2014-03-02,451,7355,2014-03-02,20140302,791.0,451,7355,4,5,1,7,3,5,5
1,2014-03-02,68,4318,2014-03-02,20140302,791.0,068,4318,0,6,8,4,3,1,8
1,2014-03-03,542,1699,2014-03-03,20140303,792.0,542,1699,5,4,2,1,6,9,9
0,2014-03-03,672,5056,2014-03-03,20140303,792.0,672,5056,6,7,2,5,0,5,6
0,2014-03-04,766,837,2014-03-04,20140304,793.0,766,0837,7,6,6,0,8,3,7
1,2014-03-04,853,8976,2014-03-04,20140304,793.0,853,8976,8,5,3,8,9,7,6
1,2014-03-05,42,4275,2014-03-05,20140305,794.0,042,4275,0,4,2,4,2,7,5
0,2014-03-05,7,6725,2014-03-05,20140305,794.0,007,6725,0,0,7,6,7,2,5
1,2014-03-06,982,3859,2014-03-06,20140306,795.0,982,3859,9,8,2,3,8,5,9
0,2014-03-06,214,8185,2014-03-06,20140306,795.0,214,8185,2,1,4,8,1,8,5
0,2014-03-07,507,2399,2014-03-07,20140307,796.0,507,2399,5,0,7,2,3,9,9
1,2014-03-07,749,3135,2014-03-07,20140307,796.0,749,3135,7,4,9,3,1,3,5
1,2014-03-08,846,8756,2014-03-08,20140308,797.0,846,8756,8,4,6,8,7,5,6
0,2014-03-08,636,2613,2014-03-08,20140308,797.0,636,2613,6,3,6,2,6,1,3
0,2014-03-09,774,5003,2014-03-09,20140309,798.0,774,5003,7,7,4,5,0,0,3
1,2014-03-09,407,5214,2014-03-09,20140309,798.0,407,5214,4,0,7,5,2,1,4
0,2014-03-10,983,6453,2014-03-10,20140310,799.0,983,6453,9,8,3,6,4,5,3
1,2014-03-10,668,5337,2014-03-10,20140310,799.0,668,5337,6,6,8,5,3,3,7
0,2014-03-11,749,4720,2014-03-11,20140311,800.0,749,4720,7,4,9,4,7,2,0
1,2014-03-11,756,2900,2014-03-11,20140311,800.0,756,2900,7,5,6,2,9,0,0
1,2014-03-12,192,9238,2014-03-12,20140312,801.0,192,9238,1,9,2,9,2,3,8
0,2014-03-12,732,8742,2014-03-12,20140312,801.0,732,8742,7,3,2,8,7,4,2
0,2014-03-13,486,1521,2014-03-13,20140313,802.0,486,1521,4,8,6,1,5,2,1
1,2014-03-13,640,6115,2014-03-13,20140313,802.0,640,6115,6,4,0,6,1,1,5
0,2014-03-14,677,6364,2014-03-14,20140314,803.0,677,6364,6,7,7,6,3,6,4
1,2014-03-14,536,5104,2014-03-14,20140314,803.0,536,5104,5,3,6,5,1,0,4
0,2014-03-15,666,8704,2014-03-15,20140315,804.0,666,8704,6,6,6,8,7,0,4
1,2014-03-15,907,9167,2014-03-15,20140315,804.0,907,9167,9,0,7,9,1,6,7
1,2014-03-16,896,6802,2014-03-16,20140316,805.0,896,6802,8,9,6,6,8,0,2
0,2014-03-16,683,6115,2014-03-16,20140316,805.0,683,6115,6,8,3,6,1,1,5
0,2014-03-17,228,336,2014-03-17,20140317,806.0,228,0336,2,2,8,0,3,3,6
1,2014-03-17,708,3104,2014-03-17,20140317,806.0,708,3104,7,0,8,3,1,0,4
0,2014-03-18,705,8510,2014-03-18,20140318,807.0,705,8510,7,0,5,8,5,1,0
1,2014-03-18,903,2255,2014-03-18,20140318,807.0,903,2255,9,0,3,2,2,5,5
1,2014-03-19,385,3023,2014-03-19,20140319,808.0,385,3023,3,8,5,3,0,2,3
0,2014-03-19,579,1415,2014-03-19,20140319,808.0,579,1415,5,7,9,1,4,1,5
1,2014-03-20,570,194,2014-03-20,20140320,809.0,570,0194,5,7,0,0,1,9,4
0,2014-03-20,13,1600,2014-03-20,20140320,809.0,013,1600,0,1,3,1,6,0,0
0,2014-03-21,525,6522,2014-03-21,20140321,810.0,525,6522,5,2,5,6,5,2,2
1,2014-03-21,274,3504,2014-03-21,20140321,810.0,274,3504,2,7,4,3,5,0,4
1,2014-03-22,407,8684,2014-03-22,20140322,811.0,407,8684,4,0,7,8,6,8,4
0,2014-03-22,674,3675,2014-03-22,20140322,811.0,674,3675,6,7,4,3,6,7,5
0,2014-03-23,335,6953,2014-03-23,20140323,812.0,335,6953,3,3,5,6,9,5,3
1,2014-03-23,52,8821,2014-03-23,20140323,812.0,052,8821,0,5,2,8,8,2,1
0,2014-03-24,96,4989,2014-03-24,20140324,813.0,096,4989,0,9,6,4,9,8,9
1,2014-03-24,769,4619,2014-03-24,20140324,813.0,769,4619,7,6,9,4,6,1,9
0,2014-03-25,896,3939,2014-03-25,20140325,814.0,896,3939,8,9,6,3,9,3,9
1,2014-03-25,563,8741,2014-03-25,20140325,814.0,563,8741,5,6,3,8,7,4,1
1,2014-03-26,875,1771,2014-03-26,20140326,815.0,875,1771,8,7,5,1,7,7,1
0,2014-03-26,445,3231,2014-03-26,20140326,815.0,445,3231,4,4,5,3,2,3,1
0,2014-03-27,330,3653,2014-03-27,20140327,816.0,330,3653,3,3,0,3,6,5,3
1,2014-03-27,493,4982,2014-03-27,20140327,816.0,493,4982,4,9,3,4,9,8,2
0,2014-03-28,722,3657,2014-03-28,20140328,817.0,722,3657,7,2,2,3,6,5,7
1,2014-03-28,763,2072,2014-03-28,20140328,817.0,763,2072,7,6,3,2,0,7,2
1,2014-03-29,539,1402,2014-03-29,20140329,818.0,539,1402,5,3,9,1,4,0,2
0,2014-03-29,739,685,2014-03-29,20140329,818.0,739,0685,7,3,9,0,6,8,5
0,2014-03-30,877,4648,2014-03-30,20140330,819.0,877,4648,8,7,7,4,6,4,8
1,2014-03-30,976,9897,2014-03-30,20140330,819.0,976,9897,9,7,6,9,8,9,7
0,2014-03-31,911,1679,2014-03-31,20140331,820.0,911,1679,9,1,1,1,6,7,9
1,2014-03-31,331,2222,2014-03-31,20140331,820.0,331,2222,3,3,1,2,2,2,2
0,2014-04-01,842,394,2014-04-01,20140401,821.0,842,0394,8,4,2,0,3,9,4
1,2014-04-01,10,2426,2014-04-01,20140401,821.0,010,2426,0,1,0,2,4,2,6
0,2014-04-02,856,816,2014-04-02,20140402,822.0,856,0816,8,5,6,0,8,1,6
1,2014-04-02,293,110,2014-04-02,20140402,822.0,293,0110,2,9,3,0,1,1,0
0,2014-04-03,17,6001,2014-04-03,20140403,823.0,017,6001,0,1,7,6,0,0,1
1,2014-04-03,405,4129,2014-04-03,20140403,823.0,405,4129,4,0,5,4,1,2,9
1,2014-04-04,260,6924,2014-04-04,20140404,824.0,260,6924,2,6,0,6,9,2,4
0,2014-04-04,250,4787,2014-04-04,20140404,824.0,250,4787,2,5,0,4,7,8,7
1,2014-04-05,334,2693,2014-04-05,20140405,825.0,334,2693,3,3,4,2,6,9,3
0,2014-04-05,40,2241,2014-04-05,20140405,825.0,040,2241,0,4,0,2,2,4,1
1,2014-04-06,185,8452,2014-04-06,20140406,826.0,185,8452,1,8,5,8,4,5,2
0,2014-04-06,175,8467,2014-04-06,20140406,826.0,175,8467,1,7,5,8,4,6,7
0,2014-04-07,802,4045,2014-04-07,20140407,827.0,802,4045,8,0,2,4,0,4,5
1,2014-04-07,534,9410,2014-04-07,20140407,827.0,534,9410,5,3,4,9,4,1,0
1,2014-04-08,694,6471,2014-04-08,20140408,828.0,694,6471,6,9,4,6,4,7,1
0,2014-04-08,619,4548,2014-04-08,20140408,828.0,619,4548,6,1,9,4,5,4,8
0,2014-04-09,708,8777,2014-04-09,20140409,829.0,708,8777,7,0,8,8,7,7,7
1,2014-04-09,52,9192,2014-04-09,20140409,829.0,052,9192,0,5,2,9,1,9,2
0,2014-04-10,552,6696,2014-04-10,20140410,830.0,552,6696,5,5,2,6,6,9,6
1,2014-04-10,659,2391,2014-04-10,20140410,830.0,659,2391,6,5,9,2,3,9,1
1,2014-04-11,666,311,2014-04-11,20140411,831.0,666,0311,6,6,6,0,3,1,1
0,2014-04-11,924,1062,2014-04-11,20140411,831.0,924,1062,9,2,4,1,0,6,2
1,2014-04-12,619,575,2014-04-12,20140412,832.0,619,0575,6,1,9,0,5,7,5
0,2014-04-12,124,853,2014-04-12,20140412,832.0,124,0853,1,2,4,0,8,5,3
0,2014-04-13,930,7167,2014-04-13,20140413,833.0,930,7167,9,3,0,7,1,6,7
1,2014-04-13,709,5418,2014-04-13,20140413,833.0,709,5418,7,0,9,5,4,1,8
1,2014-04-14,343,5243,2014-04-14,20140414,834.0,343,5243,3,4,3,5,2,4,3
0,2014-04-14,899,1154,2014-04-14,20140414,834.0,899,1154,8,9,9,1,1,5,4
0,2014-04-15,362,8674,2014-04-15,20140415,835.0,362,8674,3,6,2,8,6,7,4
1,2014-04-15,368,5125,2014-04-15,20140415,835.0,368,5125,3,6,8,5,1,2,5
0,2014-04-16,224,3141,2014-04-16,20140416,836.0,224,3141,2,2,4,3,1,4,1
1,2014-04-16,217,7850,2014-04-16,20140416,836.0,217,7850,2,1,7,7,8,5,0
1,2014-04-17,143,3978,2014-04-17,20140417,837.0,143,3978,1,4,3,3,9,7,8
0,2014-04-17,65,3231,2014-04-17,20140417,837.0,065,3231,0,6,5,3,2,3,1
0,2014-04-18,954,8708,2014-04-18,20140418,838.0,954,8708,9,5,4,8,7,0,8
1,2014-04-18,951,1840,2014-04-18,20140418,838.0,951,1840,9,5,1,1,8,4,0
0,2014-04-19,859,6006,2014-04-19,20140419,839.0,859,6006,8,5,9,6,0,0,6
1,2014-04-19,488,2840,2014-04-19,20140419,839.0,488,2840,4,8,8,2,8,4,0
0,2014-04-20,975,2674,2014-04-20,20140420,840.0,975,2674,9,7,5,2,6,7,4
1,2014-04-20,684,3823,2014-04-20,20140420,840.0,684,3823,6,8,4,3,8,2,3
1,2014-04-21,887,2550,2014-04-21,20140421,841.0,887,2550,8,8,7,2,5,5,0
0,2014-04-21,305,1982,2014-04-21,20140421,841.0,305,1982,3,0,5,1,9,8,2
0,2014-04-22,945,6508,2014-04-22,20140422,842.0,945,6508,9,4,5,6,5,0,8
1,2014-04-22,97,4779,2014-04-22,20140422,842.0,097,4779,0,9,7,4,7,7,9
1,2014-04-23,363,4204,2014-04-23,20140423,843.0,363,4204,3,6,3,4,2,0,4
0,2014-04-23,373,8720,2014-04-23,20140423,843.0,373,8720,3,7,3,8,7,2,0
0,2014-04-24,88,4743,2014-04-24,20140424,844.0,088,4743,0,8,8,4,7,4,3
1,2014-04-24,429,9347,2014-04-24,20140424,844.0,429,9347,4,2,9,9,3,4,7
0,2014-04-25,329,4667,2014-04-25,20140425,845.0,329,4667,3,2,9,4,6,6,7
1,2014-04-25,115,4840,2014-04-25,20140425,845.0,115,4840,1,1,5,4,8,4,0
0,2014-04-26,66,5323,2014-04-26,20140426,846.0,066,5323,0,6,6,5,3,2,3
1,2014-04-26,277,5702,2014-04-26,20140426,846.0,277,5702,2,7,7,5,7,0,2
0,2014-04-27,576,3198,2014-04-27,20140427,847.0,576,3198,5,7,6,3,1,9,8
1,2014-04-27,88,6815,2014-04-27,20140427,847.0,088,6815,0,8,8,6,8,1,5
1,2014-04-28,867,2292,2014-04-28,20140428,848.0,867,2292,8,6,7,2,2,9,2
0,2014-04-28,417,9720,2014-04-28,20140428,848.0,417,9720,4,1,7,9,7,2,0
0,2014-04-29,711,3911,2014-04-29,20140429,849.0,711,3911,7,1,1,3,9,1,1
1,2014-04-29,705,6989,2014-04-29,20140429,849.0,705,6989,7,0,5,6,9,8,9
1,2014-04-30,930,4886,2014-04-30,20140430,850.0,930,4886,9,3,0,4,8,8,6
0,2014-04-30,226,6416,2014-04-30,20140430,850.0,226,6416,2,2,6,6,4,1,6
1,2014-05-01,501,2208,2014-05-01,20140501,851.0,501,2208,5,0,1,2,2,0,8
0,2014-05-01,149,5967,2014-05-01,20140501,851.0,149,5967,1,4,9,5,9,6,7
0,2014-05-02,520,9985,2014-05-02,20140502,852.0,520,9985,5,2,0,9,9,8,5
1,2014-05-02,881,3738,2014-05-02,20140502,852.0,881,3738,8,8,1,3,7,3,8
0,2014-05-03,467,277,2014-05-03,20140503,853.0,467,0277,4,6,7,0,2,7,7
1,2014-05-03,141,2052,2014-05-03,20140503,853.0,141,2052,1,4,1,2,0,5,2
1,2014-05-04,459,4468,2014-05-04,20140504,854.0,459,4468,4,5,9,4,4,6,8
0,2014-05-04,961,354,2014-05-04,20140504,854.0,961,0354,9,6,1,0,3,5,4
1,2014-05-05,931,7472,2014-05-05,20140505,855.0,931,7472,9,3,1,7,4,7,2
0,2014-05-05,710,2369,2014-05-05,20140505,855.0,710,2369,7,1,0,2,3,6,9
1,2014-05-06,299,8293,2014-05-06,20140506,856.0,299,8293,2,9,9,8,2,9,3
0,2014-05-06,319,8564,2014-05-06,20140506,856.0,319,8564,3,1,9,8,5,6,4
0,2014-05-07,415,5788,2014-05-07,20140507,857.0,415,5788,4,1,5,5,7,8,8
1,2014-05-07,682,9657,2014-05-07,20140507,857.0,682,9657,6,8,2,9,6,5,7
