Day_Draw,Date,Pick3
SUN - EVE,2018-03-11,490
MON - MID,2018-03-12,202
MON - EVE,2018-03-12,453
TUE - MID,2018-03-13,713
TUE - EVE,2018-03-13,362
WED - MID,2018-03-14,198
WED - EVE,2018-03-14,281
THU - MID,2018-03-15,479
THU - EVE,2018-03-15,973
FRI - MID,2018-03-16,13
FRI - EVE,2018-03-16,222
SAT - MID,2018-03-17,728
SAT - EVE,2018-03-17,629
SUN - MID,2018-03-18,507
SUN - EVE,2018-03-18,420
MON - MID,2018-03-19,98
MON - EVE,2018-03-19,996
TUE - MID,2018-03-20,240
TUE - EVE,2018-03-20,398
WED - MID,2018-03-21,979
WED - EVE,2018-03-21,421
THU - MID,2018-03-22,159
THU - EVE,2018-03-22,759
FRI - MID,2018-03-23,746
FRI - EVE,2018-03-23,224
SAT - MID,2018-03-24,808
SAT - EVE,2018-03-24,495
SUN - MID,2018-03-25,333
SUN - EVE,2018-03-25,655
MON - MID,2018-03-26,604
MON - EVE,2018-03-26,452
TUE - MID,2018-03-27,258
TUE - EVE,2018-03-27,477
WED - MID,2018-03-28,452
WED - EVE,2018-03-28,932
THU - MID,2018-03-29,250
THU - EVE,2018-03-29,670
FRI - MID,2018-03-30,646
FRI - EVE,2018-03-30,184
SAT - MID,2018-03-31,305
SAT - EVE,2018-03-31,457
SUN - MID,2018-04-01,734
SUN - EVE,2018-04-01,255
MON - MID,2018-04-02,236
MON - EVE,2018-04-02,218
TUE - MID,2018-04-03,406
TUE - EVE,2018-04-03,384
WED - MID,2018-04-04,30
WED - EVE,2018-04-04,465
THU - MID,2018-04-05,809
THU - EVE,2018-04-05,186
FRI - MID,2018-04-06,637
FRI - EVE,2018-04-06,616
SAT - MID,2018-04-07,291
SAT - EVE,2018-04-07,905
SUN - MID,2018-04-08,658
SUN - EVE,2018-04-08,179
MON - MID,2018-04-09,850
MON - EVE,2018-04-09,10
TUE - MID,2018-04-10,748
TUE - EVE,2018-04-10,206
WED - MID,2018-04-11,321
WED - EVE,2018-04-11,630
THU - MID,2018-04-12,563
THU - EVE,2018-04-12,790
FRI - MID,2018-04-13,553
FRI - EVE,2018-04-13,158
SAT - MID,2018-04-14,478
SAT - EVE,2018-04-14,12
SUN - MID,2018-04-15,822
SUN - EVE,2018-04-15,203
MON - MID,2018-04-16,609
MON - EVE,2018-04-16,537
TUE - MID,2018-04-17,702
TUE - EVE,2018-04-17,721
WED - MID,2018-04-18,70
WED - EVE,2018-04-18,72
THU - MID,2018-04-19,467
THU - EVE,2018-04-19,211
FRI - MID,2018-04-20,991
FRI - EVE,2018-04-20,314
SAT - MID,2018-04-21,550
SAT - EVE,2018-04-21,51
SUN - MID,2018-04-22,255
SUN - EVE,2018-04-22,497
MON - MID,2018-04-23,314
MON - EVE,2018-04-23,42
TUE - MID,2018-04-24,420
TUE - EVE,2018-04-24,161
WED - MID,2018-04-25,312
WED - EVE,2018-04-25,307
THU - MID,2018-04-26,559
THU - EVE,2018-04-26,318
FRI - MID,2018-04-27,788
FRI - EVE,2018-04-27,994
SAT - MID,2018-04-28,230
SAT - EVE,2018-04-28,239
SUN - MID,2018-04-29,690
SUN - EVE,2018-04-29,660
MON - MID,2018-04-30,691
MON - EVE,2018-04-30,456
TUE - MID,2018-05-01,396
TUE - EVE,2018-05-01,154
WED - MID,2018-05-02,11
WED - EVE,2018-05-02,445
THU - MID,2018-05-03,803
THU - EVE,2018-05-03,182
FRI - MID,2018-05-04,444
FRI - EVE,2018-05-04,87
SAT - MID,2018-05-05,903
SAT - EVE,2018-05-05,99
SUN - MID,2018-05-06,306
SUN - EVE,2018-05-06,847
MON - MID,2018-05-07,985
MON - EVE,2018-05-07,677
TUE - MID,2018-05-08,5
TUE - EVE,2018-05-08,920
WED - MID,2018-05-09,180
WED - EVE,2018-05-09,643
THU - MID,2018-05-10,239
THU - EVE,2018-05-10,801
FRI - MID,2018-05-11,293
FRI - EVE,2018-05-11,554
SAT - MID,2018-05-12,323
SAT - EVE,2018-05-12,815
SUN - MID,2018-05-13,698
SUN - EVE,2018-05-13,630
MON - MID,2018-05-14,81
MON - EVE,2018-05-14,751
TUE - MID,2018-05-15,323
TUE - EVE,2018-05-15,123
WED - MID,2018-05-16,592
WED - EVE,2018-05-16,489
THU - MID,2018-05-17,142
THU - EVE,2018-05-17,913
FRI - MID,2018-05-18,307
FRI - EVE,2018-05-18,517
SAT - MID,2018-05-19,139
SAT - EVE,2018-05-19,28
SUN - MID,2018-05-20,373
SUN - EVE,2018-05-20,632
MON - MID,2018-05-21,781
MON - EVE,2018-05-21,938
TUE - MID,2018-05-22,582
TUE - EVE,2018-05-22,917
WED - MID,2018-05-23,949
WED - EVE,2018-05-23,118
THU - MID,2018-05-24,791
THU - EVE,2018-05-24,364
FRI - MID,2018-05-25,987
FRI - EVE,2018-05-25,766
SAT - MID,2018-05-26,488
SAT - EVE,2018-05-26,805
SUN - MID,2018-05-27,224
SUN - EVE,2018-05-27,949
MON - MID,2018-05-28,145
MON - EVE,2018-05-28,619
TUE - MID,2018-05-29,977
TUE - EVE,2018-05-29,285
WED - MID,2018-05-30,217
WED - EVE,2018-05-30,914
THU - MID,2018-05-31,250
THU - EVE,2018-05-31,164
FRI - MID,2018-06-01,578
FRI - EVE,2018-06-01,496
SAT - MID,2018-06-02,726
SAT - EVE,2018-06-02,140
SUN - MID,2018-06-03,41
SUN - EVE,2018-06-03,183
MON - MID,2018-06-04,547
MON - EVE,2018-06-04,589
TUE - MID,2018-06-05,873
TUE - EVE,2018-06-05,693
WED - MID,2018-06-06,273
WED - EVE,2018-06-06,24
THU - MID,2018-06-07,731
THU - EVE,2018-06-07,973
FRI - MID,2018-06-08,663
FRI - EVE,2018-06-08,447
SAT - MID,2018-06-09,188
SAT - EVE,2018-06-09,328
SUN - MID,2018-06-10,3
SUN - EVE,2018-06-10,602
MON - MID,2018-06-11,731
MON - EVE,2018-06-11,702
TUE - MID,2018-06-12,613
TUE - EVE,2018-06-12,192
WED - MID,2018-06-13,233
WED - EVE,2018-06-13,486
THU - MID,2018-06-14,867
THU - EVE,2018-06-14,874
FRI - MID,2018-06-15,624
FRI - EVE,2018-06-15,533
SAT - MID,2018-06-16,35
SAT - EVE,2018-06-16,642
SUN - MID,2018-06-17,782
SUN - EVE,2018-06-17,498
MON - MID,2018-06-18,371
MON - EVE,2018-06-18,318
TUE - MID,2018-06-19,830
TUE - EVE,2018-06-19,118
WED - MID,2018-06-20,101
WED - EVE,2018-06-20,705
THU - MID,2018-06-21,456
THU - EVE,2018-06-21,995
FRI - MID,2018-06-22,933
FRI - EVE,2018-06-22,901
SAT - MID,2018-06-23,781
SAT - EVE,2018-06-23,605
SUN - MID,2018-06-24,317
SUN - EVE,2018-06-24,722
MON - MID,2018-06-25,628
MON - EVE,2018-06-25,910
TUE - MID,2018-06-26,588
TUE - EVE,2018-06-26,275
WED - MID,2018-06-27,50
WED - EVE,2018-06-27,448
THU - MID,2018-06-28,616
THU - EVE,2018-06-28,132
FRI - MID,2018-06-29,420
FRI - EVE,2018-06-29,141
SAT - MID,2018-06-30,810
SAT - EVE,2018-06-30,267
SUN - MID,2018-07-01,361
SUN - EVE,2018-07-01,273
MON - MID,2018-07-02,20
MON - EVE,2018-07-02,494
TUE - MID,2018-07-03,669
TUE - EVE,2018-07-03,119
WED - MID,2018-07-04,168
WED - EVE,2018-07-04,694
THU - MID,2018-07-05,383
THU - EVE,2018-07-05,724
FRI - MID,2018-07-06,212
FRI - EVE,2018-07-06,7
SAT - MID,2018-07-07,410
SAT - EVE,2018-07-07,955
SUN - MID,2018-07-08,122
SUN - EVE,2018-07-08,149
MON - MID,2018-07-09,201
MON - EVE,2018-07-09,507
TUE - MID,2018-07-10,751
TUE - EVE,2018-07-10,897
WED - MID,2018-07-11,189
WED - EVE,2018-07-11,368
THU - MID,2018-07-12,221
THU - EVE,2018-07-12,778
FRI - MID,2018-07-13,283
FRI - EVE,2018-07-13,686
SAT - MID,2018-07-14,20
SAT - EVE,2018-07-14,503
SUN - MID,2018-07-15,485
SUN - EVE,2018-07-15,731
MON - MID,2018-07-16,806
MON - EVE,2018-07-16,851
TUE - MID,2018-07-17,848
TUE - EVE,2018-07-17,740
WED - MID,2018-07-18,303
WED - EVE,2018-07-18,728
THU - MID,2018-07-19,275
THU - EVE,2018-07-19,153
FRI - MID,2018-07-20,940
FRI - EVE,2018-07-20,44
SAT - MID,2018-07-21,715
SAT - EVE,2018-07-21,236
SUN - MID,2018-07-22,299
SUN - EVE,2018-07-22,417
MON - MID,2018-07-23,923
MON - EVE,2018-07-23,376
TUE - MID,2018-07-24,817
TUE - EVE,2018-07-24,217
WED - MID,2018-07-25,355
WED - EVE,2018-07-25,812
THU - MID,2018-07-26,111
THU - EVE,2018-07-26,516
FRI - MID,2018-07-27,657
FRI - EVE,2018-07-27,706
SAT - MID,2018-07-28,322
SAT - EVE,2018-07-28,186
SUN - MID,2018-07-29,14
SUN - EVE,2018-07-29,431
MON - MID,2018-07-30,939
MON - EVE,2018-07-30,676
TUE - MID,2018-07-31,809
TUE - EVE,2018-07-31,223
WED - MID,2018-08-01,513
WED - EVE,2018-08-01,508
THU - MID,2018-08-02,61
THU - EVE,2018-08-02,183
FRI - MID,2018-08-03,962
FRI - EVE,2018-08-03,769
SAT - MID,2018-08-04,800
SAT - EVE,2018-08-04,131
SUN - MID,2018-08-05,518
SUN - EVE,2018-08-05,991
MON - MID,2018-08-06,593
MON - EVE,2018-08-06,915
TUE - MID,2018-08-07,246
TUE - EVE,2018-08-07,917
WED - MID,2018-08-08,263
WED - EVE,2018-08-08,738
THU - MID,2018-08-09,676
THU - EVE,2018-08-09,824
FRI - MID,2018-08-10,416
FRI - EVE,2018-08-10,16
SAT - MID,2018-08-11,447
SAT - EVE,2018-08-11,763
SUN - MID,2018-08-12,254
SUN - EVE,2018-08-12,239
MON - MID,2018-08-13,791
MON - EVE,2018-08-13,764
TUE - MID,2018-08-14,476
TUE - EVE,2018-08-14,996
WED - MID,2018-08-15,454
WED - EVE,2018-08-15,45
THU - MID,2018-08-16,658
THU - EVE,2018-08-16,412
FRI - MID,2018-08-17,786
FRI - EVE,2018-08-17,359
SAT - MID,2018-08-18,853
SAT - EVE,2018-08-18,251
SUN - MID,2018-08-19,877
SUN - EVE,2018-08-19,304
MON - MID,2018-08-20,179
MON - EVE,2018-08-20,208
TUE - MID,2018-08-21,32
TUE - EVE,2018-08-21,599
WED - MID,2018-08-22,207
WED - EVE,2018-08-22,930
THU - MID,2018-08-23,506
THU - EVE,2018-08-23,460
FRI - MID,2018-08-24,563
FRI - EVE,2018-08-24,528
SAT - MID,2018-08-25,347
SAT - EVE,2018-08-25,609
SUN - MID,2018-08-26,950
SUN - EVE,2018-08-26,509
MON - MID,2018-08-27,443
MON - EVE,2018-08-27,257
TUE - MID,2018-08-28,26
TUE - EVE,2018-08-28,746
WED - MID,2018-08-29,172
WED - EVE,2018-08-29,953
THU - MID,2018-08-30,51
THU - EVE,2018-08-30,470
FRI - MID,2018-08-31,442
FRI - EVE,2018-08-31,899
SAT - MID,2018-09-01,344
SAT - EVE,2018-09-01,881
SUN - MID,2018-09-02,721
SUN - EVE,2018-09-02,370
MON - MID,2018-09-03,576
MON - EVE,2018-09-03,203
TUE - MID,2018-09-04,250
TUE - EVE,2018-09-04,729
WED - MID,2018-09-05,145
WED - EVE,2018-09-05,394
THU - MID,2018-09-06,209
THU - EVE,2018-09-06,270
FRI - MID,2018-09-07,64
FRI - EVE,2018-09-07,769
SAT - MID,2018-09-08,444
SAT - EVE,2018-09-08,992
SUN - MID,2018-09-09,25
SUN - EVE,2018-09-09,336
MON - MID,2018-09-10,986
MON - EVE,2018-09-10,576
TUE - MID,2018-09-11,457
TUE - EVE,2018-09-11,272
WED - MID,2018-09-12,930
WED - EVE,2018-09-12,804
THU - MID,2018-09-13,164
THU - EVE,2018-09-13,66
FRI - MID,2018-09-14,586
FRI - EVE,2018-09-14,60
SAT - MID,2018-09-15,377
SAT - EVE,2018-09-15,738
SUN - MID,2018-09-16,255
SUN - EVE,2018-09-16,713
MON - MID,2018-09-17,262
MON - EVE,2018-09-17,733
TUE - MID,2018-09-18,687
TUE - EVE,2018-09-18,939
WED - MID,2018-09-19,830
WED - EVE,2018-09-19,287
THU - MID,2018-09-20,658
THU - EVE,2018-09-20,763
FRI - MID,2018-09-21,433
FRI - EVE,2018-09-21,786
SAT - MID,2018-09-22,66
SAT - EVE,2018-09-22,420
SUN - MID,2018-09-23,889
SUN - EVE,2018-09-23,621
MON - MID,2018-09-24,49
MON - EVE,2018-09-24,827
TUE - MID,2018-09-25,835
TUE - EVE,2018-09-25,184
WED - MID,2018-09-26,724
WED - EVE,2018-09-26,142
THU - MID,2018-09-27,36
THU - EVE,2018-09-27,652
FRI - MID,2018-09-28,633
FRI - EVE,2018-09-28,219
SAT - MID,2018-09-29,927
SAT - EVE,2018-09-29,238
SUN - MID,2018-09-30,712
SUN - EVE,2018-09-30,772
MON - MID,2018-10-01,748
MON - EVE,2018-10-01,407
TUE - MID,2018-10-02,440
TUE - EVE,2018-10-02,329
WED - MID,2018-10-03,435
WED - EVE,2018-10-03,384
THU - MID,2018-10-04,302
THU - EVE,2018-10-04,210
FRI - MID,2018-10-05,251
FRI - EVE,2018-10-05,905
SAT - MID,2018-10-06,651
SAT - EVE,2018-10-06,451
SUN - MID,2018-10-07,575
SUN - EVE,2018-10-07,128
MON - MID,2018-10-08,965
MON - EVE,2018-10-08,95
TUE - MID,2018-10-09,115
TUE - EVE,2018-10-09,338
WED - MID,2018-10-10,414
WED - EVE,2018-10-10,476
THU - MID,2018-10-11,473
THU - EVE,2018-10-11,471
FRI - MID,2018-10-12,881
FRI - EVE,2018-10-12,377
SAT - MID,2018-10-13,442
SAT - EVE,2018-10-13,327
SUN - MID,2018-10-14,682
SUN - EVE,2018-10-14,994
MON - MID,2018-10-15,336
MON - EVE,2018-10-15,1
TUE - MID,2018-10-16,329
TUE - EVE,2018-10-16,718
WED - MID,2018-10-17,479
WED - EVE,2018-10-17,296
THU - MID,2018-10-18,720
THU - EVE,2018-10-18,648
FRI - MID,2018-10-19,612
FRI - EVE,2018-10-19,200
SAT - MID,2018-10-20,536
SAT - EVE,2018-10-20,481
SUN - MID,2018-10-21,942
SUN - EVE,2018-10-21,266
MON - MID,2018-10-22,68
MON - EVE,2018-10-22,90
TUE - MID,2018-10-23,633
TUE - EVE,2018-10-23,167
WED - MID,2018-10-24,115
WED - EVE,2018-10-24,705
THU - MID,2018-10-25,893
THU - EVE,2018-10-25,690
FRI - MID,2018-10-26,773
FRI - EVE,2018-10-26,2
SAT - MID,2018-10-27,454
SAT - EVE,2018-10-27,370
SUN - MID,2018-10-28,216
SUN - EVE,2018-10-28,943
MON - MID,2018-10-29,778
MON - EVE,2018-10-29,590
TUE - MID,2018-10-30,943
TUE - EVE,2018-10-30,651
WED - MID,2018-10-31,594
WED - EVE,2018-10-31,929
THU - MID,2018-11-01,713
THU - EVE,2018-11-01,342
FRI - MID,2018-11-02,182
FRI - EVE,2018-11-02,18
SAT - MID,2018-11-03,302
SAT - EVE,2018-11-03,836
SUN - MID,2018-11-04,294
SUN - EVE,2018-11-04,559
MON - MID,2018-11-05,314
MON - EVE,2018-11-05,947
TUE - MID,2018-11-06,418
TUE - EVE,2018-11-06,911
WED - MID,2018-11-07,745
WED - EVE,2018-11-07,375
THU - MID,2018-11-08,971
THU - EVE,2018-11-08,441
FRI - MID,2018-11-09,206
FRI - EVE,2018-11-09,483
SAT - MID,2018-11-10,532
SAT - EVE,2018-11-10,362
SUN - MID,2018-11-11,212
SUN - EVE,2018-11-11,824
MON - MID,2018-11-12,887
MON - EVE,2018-11-12,946
TUE - MID,2018-11-13,635
TUE - EVE,2018-11-13,525
WED - MID,2018-11-14,27
WED - EVE,2018-11-14,23
THU - MID,2018-11-15,201
THU - EVE,2018-11-15,177
FRI - MID,2018-11-16,832
FRI - EVE,2018-11-16,671
SAT - MID,2018-11-17,674
SAT - EVE,2018-11-17,655
SUN - MID,2018-11-18,791
SUN - EVE,2018-11-18,53
MON - MID,2018-11-19,419
MON - EVE,2018-11-19,14
TUE - MID,2018-11-20,937
TUE - EVE,2018-11-20,39
WED - MID,2018-11-21,491
WED - EVE,2018-11-21,679
THU - MID,2018-11-22,789
THU - EVE,2018-11-22,598
FRI - MID,2018-11-23,31
FRI - EVE,2018-11-23,325
SAT - MID,2018-11-24,650
SAT - EVE,2018-11-24,307
SUN - MID,2018-11-25,572
SUN - EVE,2018-11-25,295
MON - MID,2018-11-26,419
MON - EVE,2018-11-26,790
TUE - MID,2018-11-27,864
TUE - EVE,2018-11-27,41
WED - MID,2018-11-28,777
WED - EVE,2018-11-28,192
THU - MID,2018-11-29,697
THU - EVE,2018-11-29,411
FRI - MID,2018-11-30,363
FRI - EVE,2018-11-30,171
SAT - MID,2018-12-01,896
SAT - EVE,2018-12-01,173
SUN - MID,2018-12-02,896
SUN - EVE,2018-12-02,215
MON - MID,2018-12-03,31
MON - EVE,2018-12-03,451
TUE - MID,2018-12-04,679
TUE - EVE,2018-12-04,885
WED - MID,2018-12-05,281
WED - EVE,2018-12-05,384
THU - MID,2018-12-06,269
THU - EVE,2018-12-06,529
FRI - MID,2018-12-07,32
FRI - EVE,2018-12-07,848
SAT - MID,2018-12-08,689
SAT - EVE,2018-12-08,639
SUN - MID,2018-12-09,706
SUN - EVE,2018-12-09,102
MON - MID,2018-12-10,24
MON - EVE,2018-12-10,303
TUE - MID,2018-12-11,257
TUE - EVE,2018-12-11,554
WED - MID,2018-12-12,339
WED - EVE,2018-12-12,398
THU - MID,2018-12-13,782
THU - EVE,2018-12-13,443
FRI - MID,2018-12-14,197
FRI - EVE,2018-12-14,104
SAT - MID,2018-12-15,487
SAT - EVE,2018-12-15,663
SUN - MID,2018-12-16,405
SUN - EVE,2018-12-16,405
MON - MID,2018-12-17,253
MON - EVE,2018-12-17,407
TUE - MID,2018-12-18,354
TUE - EVE,2018-12-18,150
WED - MID,2018-12-19,113
WED - EVE,2018-12-19,588
THU - MID,2018-12-20,582
THU - EVE,2018-12-20,242
FRI - MID,2018-12-21,538
FRI - EVE,2018-12-21,796
SAT - MID,2018-12-22,711
SAT - EVE,2018-12-22,841
SUN - MID,2018-12-23,436
SUN - EVE,2018-12-23,428
MON - MID,2018-12-24,196
MON - EVE,2018-12-24,446
TUE - MID,2018-12-25,586
TUE - EVE,2018-12-25,644
WED - MID,2018-12-26,142
WED - EVE,2018-12-26,472
THU - MID,2018-12-27,765
THU - EVE,2018-12-27,56
FRI - MID,2018-12-28,616
FRI - EVE,2018-12-28,644
SAT - MID,2018-12-29,16
SAT - EVE,2018-12-29,49
SUN - MID,2018-12-30,936
SUN - EVE,2018-12-30,256
MON - MID,2018-12-31,156
MON - EVE,2018-12-31,326
SUN - MID,2017-01-01,657
SUN - EVE,2017-01-01,611
MON - MID,2017-01-02,615
MON - EVE,2017-01-02,539
TUE - MID,2017-01-03,907
TUE - EVE,2017-01-03,844
WED - MID,2017-01-04,348
WED - EVE,2017-01-04,107
THU - MID,2017-01-05,431
THU - EVE,2017-01-05,916
FRI - MID,2017-01-06,317
FRI - EVE,2017-01-06,861
SAT - MID,2017-01-07,414
SAT - EVE,2017-01-07,886
SUN - MID,2017-01-08,767
SUN - EVE,2017-01-08,958
MON - MID,2017-01-09,952
MON - EVE,2017-01-09,674
TUE - MID,2017-01-10,616
TUE - EVE,2017-01-10,867
WED - MID,2017-01-11,164
WED - EVE,2017-01-11,834
THU - MID,2017-01-12,782
THU - EVE,2017-01-12,487
FRI - MID,2017-01-13,643
FRI - EVE,2017-01-13,556
SAT - MID,2017-01-14,577
SAT - EVE,2017-01-14,312
SUN - MID,2017-01-15,858
SUN - EVE,2017-01-15,30
MON - MID,2017-01-16,402
MON - EVE,2017-01-16,855
TUE - MID,2017-01-17,385
TUE - EVE,2017-01-17,984
WED - MID,2017-01-18,273
WED - EVE,2017-01-18,689
THU - MID,2017-01-19,356
THU - EVE,2017-01-19,572
FRI - MID,2017-01-20,571
FRI - EVE,2017-01-20,265
SAT - MID,2017-01-21,649
SAT - EVE,2017-01-21,707
SUN - MID,2017-01-22,713
SUN - EVE,2017-01-22,247
MON - MID,2017-01-23,248
MON - EVE,2017-01-23,944
TUE - MID,2017-01-24,445
TUE - EVE,2017-01-24,272
WED - MID,2017-01-25,654
WED - EVE,2017-01-25,77
THU - MID,2017-01-26,841
THU - EVE,2017-01-26,7
FRI - MID,2017-01-27,181
FRI - EVE,2017-01-27,283
SAT - MID,2017-01-28,847
SAT - EVE,2017-01-28,159
SUN - MID,2017-01-29,415
SUN - EVE,2017-01-29,645
MON - MID,2017-01-30,72
MON - EVE,2017-01-30,200
TUE - MID,2017-01-31,145
TUE - EVE,2017-01-31,777
WED - MID,2017-02-01,758
WED - EVE,2017-02-01,792
THU - MID,2017-02-02,731
THU - EVE,2017-02-02,323
FRI - MID,2017-02-03,245
FRI - EVE,2017-02-03,31
SAT - MID,2017-02-04,77
SAT - EVE,2017-02-04,673
SUN - MID,2017-02-05,922
SUN - EVE,2017-02-05,172
MON - MID,2017-02-06,338
MON - EVE,2017-02-06,250
TUE - MID,2017-02-07,630
TUE - EVE,2017-02-07,727
WED - MID,2017-02-08,56
WED - EVE,2017-02-08,755
THU - MID,2017-02-09,692
THU - EVE,2017-02-09,630
FRI - MID,2017-02-10,718
FRI - EVE,2017-02-10,797
SAT - MID,2017-02-11,751
SAT - EVE,2017-02-11,206
SUN - MID,2017-02-12,923
SUN - EVE,2017-02-12,782
MON - MID,2017-02-13,778
MON - EVE,2017-02-13,602
TUE - MID,2017-02-14,668
TUE - EVE,2017-02-14,601
WED - MID,2017-02-15,553
WED - EVE,2017-02-15,297
THU - MID,2017-02-16,545
THU - EVE,2017-02-16,214
FRI - MID,2017-02-17,200
FRI - EVE,2017-02-17,805
SAT - MID,2017-02-18,20
SAT - EVE,2017-02-18,613
SUN - MID,2017-02-19,730
SUN - EVE,2017-02-19,836
MON - MID,2017-02-20,662
MON - EVE,2017-02-20,134
TUE - MID,2017-02-21,562
TUE - EVE,2017-02-21,366
WED - MID,2017-02-22,608
WED - EVE,2017-02-22,81
THU - MID,2017-02-23,776
THU - EVE,2017-02-23,583
FRI - MID,2017-02-24,150
FRI - EVE,2017-02-24,312
SAT - MID,2017-02-25,98
SAT - EVE,2017-02-25,823
SUN - MID,2017-02-26,807
SUN - EVE,2017-02-26,555
MON - MID,2017-02-27,619
MON - EVE,2017-02-27,269
TUE - MID,2017-02-28,505
TUE - EVE,2017-02-28,538
WED - MID,2017-03-01,484
WED - EVE,2017-03-01,163
THU - MID,2017-03-02,566
THU - EVE,2017-03-02,326
FRI - MID,2017-03-03,451
FRI - EVE,2017-03-03,887
SAT - MID,2017-03-04,508
SAT - EVE,2017-03-04,796
SUN - MID,2017-03-05,985
SUN - EVE,2017-03-05,885
MON - MID,2017-03-06,908
MON - EVE,2017-03-06,515
TUE - MID,2017-03-07,489
TUE - EVE,2017-03-07,724
WED - MID,2017-03-08,685
WED - EVE,2017-03-08,94
THU - MID,2017-03-09,894
THU - EVE,2017-03-09,496
FRI - MID,2017-03-10,540
FRI - EVE,2017-03-10,413
SAT - MID,2017-03-11,525
SAT - EVE,2017-03-11,225
SUN - MID,2017-03-12,887
SUN - EVE,2017-03-12,357
MON - MID,2017-03-13,121
MON - EVE,2017-03-13,35
TUE - MID,2017-03-14,832
TUE - EVE,2017-03-14,364
WED - MID,2017-03-15,563
WED - EVE,2017-03-15,245
THU - MID,2017-03-16,497
THU - EVE,2017-03-16,287
FRI - MID,2017-03-17,516
FRI - EVE,2017-03-17,21
SAT - MID,2017-03-18,929
SAT - EVE,2017-03-18,976
SUN - MID,2017-03-19,381
SUN - EVE,2017-03-19,104
MON - MID,2017-03-20,594
MON - EVE,2017-03-20,19
TUE - MID,2017-03-21,297
TUE - EVE,2017-03-21,820
WED - MID,2017-03-22,450
WED - EVE,2017-03-22,755
THU - MID,2017-03-23,234
THU - EVE,2017-03-23,236
FRI - MID,2017-03-24,660
FRI - EVE,2017-03-24,851
SAT - MID,2017-03-25,788
SAT - EVE,2017-03-25,198
SUN - MID,2017-03-26,500
SUN - EVE,2017-03-26,465
MON - MID,2017-03-27,71
MON - EVE,2017-03-27,15
TUE - MID,2017-03-28,672
TUE - EVE,2017-03-28,9
WED - MID,2017-03-29,452
WED - EVE,2017-03-29,821
THU - MID,2017-03-30,203
THU - EVE,2017-03-30,987
FRI - MID,2017-03-31,476
FRI - EVE,2017-03-31,729
SAT - MID,2017-04-01,96
SAT - EVE,2017-04-01,103
SUN - MID,2017-04-02,51
SUN - EVE,2017-04-02,557
MON - MID,2017-04-03,119
MON - EVE,2017-04-03,488
TUE - MID,2017-04-04,332
TUE - EVE,2017-04-04,64
WED - MID,2017-04-05,865
WED - EVE,2017-04-05,578
THU - MID,2017-04-06,169
THU - EVE,2017-04-06,112
FRI - MID,2017-04-07,36
FRI - EVE,2017-04-07,649
SAT - MID,2017-04-08,396
SAT - EVE,2017-04-08,692
SUN - MID,2017-04-09,128
SUN - EVE,2017-04-09,908
MON - MID,2017-04-10,584
MON - EVE,2017-04-10,693
TUE - MID,2017-04-11,828
TUE - EVE,2017-04-11,534
WED - MID,2017-04-12,906
WED - EVE,2017-04-12,750
THU - MID,2017-04-13,117
THU - EVE,2017-04-13,415
FRI - MID,2017-04-14,893
FRI - EVE,2017-04-14,2
SAT - MID,2017-04-15,54
SAT - EVE,2017-04-15,823
SUN - MID,2017-04-16,246
SUN - EVE,2017-04-16,679
MON - MID,2017-04-17,650
MON - EVE,2017-04-17,948
TUE - MID,2017-04-18,725
TUE - EVE,2017-04-18,148
WED - MID,2017-04-19,856
WED - EVE,2017-04-19,940
THU - MID,2017-04-20,975
THU - EVE,2017-04-20,767
FRI - MID,2017-04-21,789
FRI - EVE,2017-04-21,363
SAT - MID,2017-04-22,640
SAT - EVE,2017-04-22,296
SUN - MID,2017-04-23,637
SUN - EVE,2017-04-23,53
MON - MID,2017-04-24,36
MON - EVE,2017-04-24,200
TUE - MID,2017-04-25,692
TUE - EVE,2017-04-25,513
WED - MID,2017-04-26,262
WED - EVE,2017-04-26,621
THU - MID,2017-04-27,604
THU - EVE,2017-04-27,527
FRI - MID,2017-04-28,262
FRI - EVE,2017-04-28,118
SAT - MID,2017-04-29,795
SAT - EVE,2017-04-29,601
SUN - MID,2017-04-30,373
SUN - EVE,2017-04-30,491
MON - MID,2017-05-01,660
MON - EVE,2017-05-01,586
TUE - MID,2017-05-02,691
TUE - EVE,2017-05-02,298
WED - MID,2017-05-03,732
WED - EVE,2017-05-03,390
THU - MID,2017-05-04,460
THU - EVE,2017-05-04,691
FRI - MID,2017-05-05,841
FRI - EVE,2017-05-05,811
SAT - MID,2017-05-06,989
SAT - EVE,2017-05-06,821
SUN - MID,2017-05-07,569
SUN - EVE,2017-05-07,316
MON - MID,2017-05-08,413
MON - EVE,2017-05-08,156
TUE - MID,2017-05-09,568
TUE - EVE,2017-05-09,273
WED - MID,2017-05-10,591
WED - EVE,2017-05-10,201
THU - MID,2017-05-11,890
THU - EVE,2017-05-11,416
FRI - MID,2017-05-12,901
FRI - EVE,2017-05-12,976
SAT - MID,2017-05-13,293
SAT - EVE,2017-05-13,172
SUN - MID,2017-05-14,112
SUN - EVE,2017-05-14,957
MON - MID,2017-05-15,743
MON - EVE,2017-05-15,33
TUE - MID,2017-05-16,125
TUE - EVE,2017-05-16,874
WED - MID,2017-05-17,582
WED - EVE,2017-05-17,787
THU - MID,2017-05-18,347
THU - EVE,2017-05-18,952
FRI - MID,2017-05-19,596
FRI - EVE,2017-05-19,177
SAT - MID,2017-05-20,464
